Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
"เหล็กฉาก 2"" เหลือง",0100070090001,code128,ไม่ระบุ,01,004,004,  ,320,375,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 2"" ส้ม",0100070090002,code128,ไม่ระบุ,01,004,004,  ,419,482,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 2"" ขาว",0100070090003,code128,ไม่ระบุ,01,004,004,  ,514,589,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 2"" เขียว",0100070090004,code128,ไม่ระบุ,01,004,004,  ,566,663,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 3"" เหลือง",0100070110001,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 3"" ส้ม",0100070110002,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 3"" ขาว",0100070110003,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กฉาก 3"" เขียว",0100070110004,code128,ไม่ระบุ,01,004,004,  ,933,1038,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกลมดำ 4 หุน เหลือง,0100080030001,code128,ไม่ระบุ,01,004,004,  ,95,123,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกลมดำ 4 หุน ส้ม,0100080030002,code128,ไม่ระบุ,01,004,004,  ,107,139,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกลมดำ 4 หุน ขาว,0100080030003,code128,ไม่ระบุ,01,004,004,  ,126,161,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกลมดำ 4 หุน เขียว,0100080030004,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
